,client_id,visit_id,process_step,date_time
46581,9473567,275995750_60785303641_106375,confirm,2017-03-15 15:18:40
88374,5203247,279905694_13004445479_292980,confirm,2017-03-15 15:19:16
114768,7889133,849762669_66488521793_53573,confirm,2017-03-15 15:34:43
139148,3006177,773408758_57477703501_393326,confirm,2017-03-15 15:36:05
15136,3300583,538174676_32861564288_639061,confirm,2017-03-15 15:41:33
75622,486496,50392524_53288437729_580011,step_1,2017-03-15 15:42:36
41224,8634380,96065873_78832107106_118570,confirm,2017-03-15 15:50:51
73059,1506366,892536001_62910767749_695381,start,2017-03-15 15:56:25
16936,7425904,505440402_98289767080_417529,confirm,2017-03-15 16:08:32
116088,8366885,841158619_90099596842_939764,confirm,2017-03-15 16:13:52
88602,9018405,490341812_59512145020_373332,step_1,2017-03-15 16:16:38
60114,7279868,546242708_91525582387_544158,confirm,2017-03-15 16:36:30
25584,7841112,162739867_57388887003_692142,confirm,2017-03-15 16:46:39
99435,6038516,476336060_57661138962_18103,start,2017-03-15 16:53:32
107871,7142697,111304823_24193466796_303812,start,2017-03-15 16:57:06
100083,4685022,303461145_44832220150_461889,step_3,2017-03-15 17:03:23
90677,5890801,767015363_30318746178_135452,start,2017-03-15 17:26:38
25771,9106666,370718670_43395651931_157802,start,2017-03-15 17:28:31
90675,5890801,846353662_89042880524_365960,start,2017-03-15 17:29:14
83724,4040609,767508150_54494716518_993518,confirm,2017-03-15 17:30:13
99305,1046045,979470275_92110959334_914917,confirm,2017-03-15 17:53:07
5002,5749834,780368737_55017656982_680741,step_2,2017-03-15 18:13:32
91784,7172286,626944051_41524415880_264671,start,2017-03-15 18:15:08
73637,7752289,993040688_65023832726_801848,confirm,2017-03-15 18:20:48
74122,4695726,954604591_55494690283_717879,confirm,2017-03-15 18:21:11
132775,2406074,494079880_39705379397_742568,confirm,2017-03-15 18:34:13
98717,7683638,944440562_9059250316_309561,confirm,2017-03-15 18:49:46
97512,8207810,48910493_75011729188_564140,confirm,2017-03-15 18:51:33
75803,9544592,533160617_84789704769_526905,start,2017-03-15 19:01:56
54991,4025195,451385810_50340127680_318047,start,2017-03-15 19:11:27
127771,6970695,194998204_74599762745_2813,confirm,2017-03-15 19:20:57
22717,7956645,128066400_89913040740_297219,step_1,2017-03-15 19:24:21
48923,576893,769864566_75643028524_578770,step_1,2017-03-15 19:31:52
76310,8976119,736953670_64876209273_750382,confirm,2017-03-15 19:39:36
123914,3278440,208326468_27017029354_198282,confirm,2017-03-15 19:54:43
116893,4008625,294078361_1002721045_879215,start,2017-03-15 20:00:20
43436,4414216,222599231_97502466325_193264,confirm,2017-03-15 20:06:39
123518,7128894,738627497_4810918916_252042,confirm,2017-03-15 20:22:39
4358,1672032,878638047_4867671196_871987,confirm,2017-03-15 20:24:55
26919,3002873,239852282_61484592036_300317,confirm,2017-03-15 20:48:48
127424,9194819,927539802_63092162142_293569,step_3,2017-03-15 21:21:01
3049,7852915,797581355_9764193036_320350,confirm,2017-03-15 21:39:47
90782,1896533,446575371_35692682179_436556,start,2017-03-15 22:40:03
90114,831384,802943394_58863101151_424393,start,2017-03-15 23:25:23
38706,7452449,403278175_54092776604_794734,start,2017-03-16 01:29:27
92101,11070,273595684_60051533546_495174,step_3,2017-03-16 04:45:17
48122,3510156,219901525_98758446192_8790,confirm,2017-03-16 05:26:14
49221,8854681,739020866_84856385793_320685,confirm,2017-03-16 07:21:44
128323,5124459,287496892_55906959605_500639,start,2017-03-16 07:27:22
137584,2111468,130079804_14229087616_693146,confirm,2017-03-16 07:46:21
99530,2878094,867597622_21014053163_811290,start,2017-03-16 08:06:22
28037,1526749,642144079_73611738656_360548,start,2017-03-16 08:09:43
18951,4848740,386738228_42662732202_637297,start,2017-03-16 08:22:12
18262,7947445,715277955_95802480391_41423,confirm,2017-03-16 09:01:48
83135,3782015,167436646_87139615816_529381,confirm,2017-03-16 09:05:25
41951,3487248,408476652_47761574404_151331,confirm,2017-03-16 09:43:26
56714,4494146,601310914_51237617759_949279,start,2017-03-16 09:59:06
16043,6391818,898664451_45700590788_324528,confirm,2017-03-16 10:50:25
71226,9563050,426705310_46163620241_997591,step_2,2017-03-16 10:59:47
91214,1562630,457150466_69955122688_6230,step_3,2017-03-16 11:22:28
76059,5429906,13823550_41460638874_997181,confirm,2017-03-16 11:29:02
63837,5377248,354106316_25273084258_726647,confirm,2017-03-16 11:35:45
108887,2848798,875499105_34140675721_729457,start,2017-03-16 12:03:13
73380,5826449,886756138_34651476004_310806,step_1,2017-03-16 12:06:26
16217,7926202,364637309_48378948680_495434,start,2017-03-16 12:13:12
141144,4124913,9879742_60283326402_323004,step_1,2017-03-16 12:24:00
87559,582696,221532619_91493128701_311699,confirm,2017-03-16 12:27:58
83517,6760966,213365461_21693698068_762880,confirm,2017-03-16 12:32:45
108881,2848798,421973784_55702304721_60982,confirm,2017-03-16 13:10:33
55827,9954065,361590464_79965420523_9850,start,2017-03-16 13:36:49
17388,8814095,616009168_65536882735_483456,confirm,2017-03-16 14:23:10
107866,7142697,969196079_13694736011_357992,confirm,2017-03-16 15:00:20
96841,4526050,163301461_94998548914_924148,start,2017-03-16 15:00:51
46564,5476413,62393472_35797987088_361567,confirm,2017-03-16 15:19:40
50312,7197684,499797294_338371280_941203,step_2,2017-03-16 15:28:26
48341,3711495,49673837_79020508029_900499,start,2017-03-16 15:45:01
132286,2806415,260066467_91053945493_595155,start,2017-03-16 15:45:59
127679,269520,292426257_46492309869_984100,confirm,2017-03-16 16:15:59
39282,1042803,319036112_57907447320_443739,step_3,2017-03-16 16:20:28
139407,3673896,106516319_17231742424_451640,confirm,2017-03-16 16:41:14
106404,9440795,118626507_3369959419_813057,confirm,2017-03-16 16:48:04
116410,8877862,185181273_92916174788_341251,confirm,2017-03-16 17:00:36
75579,8409019,68253124_37432305328_404058,start,2017-03-16 17:52:10
123158,5539768,980416437_30220421759_353643,confirm,2017-03-16 18:06:41
26533,648062,615488355_70963307870_591741,start,2017-03-16 18:43:47
7337,4658967,227763929_66027733976_806506,start,2017-03-16 19:40:25
66133,6187864,39432552_54782346003_579928,step_3,2017-03-16 21:19:57
75344,631263,287858593_95876064895_806618,start,2017-03-16 21:26:05
75616,486496,132271947_11731722669_605414,confirm,2017-03-16 22:06:33
16962,4818367,358441007_53556002901_801127,start,2017-03-16 23:21:11
96111,9363715,191714124_66797164435_191101,start,2017-03-16 23:27:50
90117,831384,186344666_55545087654_896967,start,2017-03-17 00:19:51
121366,5973135,772657178_39325592857_441976,confirm,2017-03-17 04:43:44
59192,9397407,722251399_80533466349_225959,confirm,2017-03-17 06:19:48
138973,2268691,302245247_29674031465_618947,step_2,2017-03-17 08:02:34
19173,2978729,122674385_98292452808_703411,start,2017-03-17 08:10:22
139412,3673896,436111171_86174522202_43955,start,2017-03-17 08:43:51
71229,9563050,795062319_93178792732_899561,start,2017-03-17 09:28:10
105397,4532488,381148334_67442174566_590955,confirm,2017-03-17 09:42:44
30627,6279719,45191597_86573281824_441762,confirm,2017-03-17 09:48:08
42873,2922703,663929545_62619616039_552296,confirm,2017-03-17 10:18:14
97211,9860216,113986262_37570427959_844167,start,2017-03-17 10:32:43
7481,3648823,396941148_78211259722_353391,start,2017-03-17 12:12:17
90783,9144198,868719998_39504211251_413087,start,2017-03-17 13:24:37
2645,7276456,972938336_32420419372_607593,start,2017-03-17 14:03:17
51951,9005693,466593563_50069533682_822916,step_1,2017-03-17 14:36:18
41205,5763881,404253079_36593806987_212417,confirm,2017-03-17 15:58:30
80148,3661108,657046542_13749689245_352915,confirm,2017-03-17 17:04:16
1404,2263719,703138196_88215699760_290156,start,2017-03-17 17:05:46
104851,4094897,458681963_33897862474_658563,start,2017-03-17 17:12:55
129014,1236099,170761169_41275034254_403566,confirm,2017-03-17 19:13:38
109237,2790712,205823442_40840306297_121427,confirm,2017-03-17 20:15:39
82127,8343132,329878005_57272520069_219216,confirm,2017-03-17 20:31:06
42285,7225627,515521246_89484808621_942169,start,2017-03-17 22:28:06
132333,7327736,62778518_54797935733_26815,step_3,2017-03-17 22:38:30
139694,8254071,424772433_4250383461_816716,confirm,2017-03-18 08:28:16
79554,796776,485126161_22421733997_580666,step_1,2017-03-18 09:27:55
59363,6798317,70821607_5353037791_413483,start,2017-03-18 09:43:55
81517,1077064,206012391_24166465824_98814,step_2,2017-03-18 10:58:39
82651,6034462,497733387_63166100393_17591,start,2017-03-18 11:36:02
25589,7841112,860368775_55627343812_364413,step_1,2017-03-18 12:20:11
14177,2209005,187928177_74760034693_225502,confirm,2017-03-18 12:55:51
27026,5339133,75048191_80102299161_860742,start,2017-03-18 13:32:04
65377,2319207,58976933_83165741696_908338,start,2017-03-18 14:14:05
17001,1445747,274708207_58076364245_858459,start,2017-03-18 14:47:39
84765,7403377,110534964_35163558321_524792,confirm,2017-03-18 16:33:50
113999,1684699,495341079_82275657814_526407,step_3,2017-03-18 16:43:41
51199,1511326,838812957_44062396262_43776,start,2017-03-18 17:04:24
24220,3507632,28047493_91665089710_771664,confirm,2017-03-18 17:06:58
124225,3654308,726496682_33297666610_800081,start,2017-03-18 17:12:53
95588,1389625,310550740_18797220565_30458,confirm,2017-03-18 18:44:07
88858,3739003,419454616_23108975041_327700,confirm,2017-03-18 18:44:14
89614,2625933,704677883_3839427270_682625,start,2017-03-18 18:46:54
135557,3728714,277286044_35546790527_967440,start,2017-03-18 19:42:20
104669,2206697,52313971_44318151771_318218,start,2017-03-18 19:43:02
55083,8253604,900608759_46912913275_490615,confirm,2017-03-18 21:14:22
73039,1291022,336765086_47798230088_943191,start,2017-03-18 21:36:33
43837,9795301,20542739_40494915086_947269,confirm,2017-03-18 21:47:24
88810,346409,996239367_64464695060_989466,start,2017-03-18 22:08:49
112952,318182,670391708_28687018351_184663,confirm,2017-03-18 22:27:57
133097,651189,847399801_4089251087_15813,start,2017-03-18 23:03:49
57500,1037841,392269213_95255964966_107890,confirm,2017-03-19 00:04:06
91339,8135457,733072187_72951773661_446140,confirm,2017-03-19 01:40:28
16442,3675846,172520032_88624236212_759165,step_1,2017-03-19 01:53:36
47230,7940827,319624287_86179354945_301772,confirm,2017-03-19 06:56:10
26927,3002873,398213982_59048220732_676428,step_1,2017-03-19 07:40:31
15555,2198173,474192948_94387950657_696750,confirm,2017-03-19 08:20:10
17774,6765925,507573620_61332794893_413755,step_1,2017-03-19 09:30:02
32360,314959,151648582_77384242280_700797,step_3,2017-03-19 09:34:53
121136,5943882,642662620_58965462954_783733,confirm,2017-03-19 10:04:49
17769,6765925,513175253_26857285579_826900,confirm,2017-03-19 10:27:35
107872,7142697,564310114_30858623442_268638,start,2017-03-19 10:32:57
84384,2510672,649916139_28641981859_223147,step_2,2017-03-19 11:18:25
52293,7394783,13350874_75968367879_814437,confirm,2017-03-19 13:08:57
76190,7247254,934195214_78240743003_233677,confirm,2017-03-19 13:42:55
90050,9228904,999256588_60292270208_152512,start,2017-03-19 13:44:34
92024,5056977,888840080_96318673865_20752,step_1,2017-03-19 14:12:02
7110,9516012,177998528_6317366649_572231,step_1,2017-03-19 14:38:35
66983,9245820,331814147_10520382206_783034,start,2017-03-19 16:29:12
63879,6181154,526479677_42071844849_83649,start,2017-03-19 16:32:04
76057,5429906,389060581_36102591148_597014,step_1,2017-03-19 16:47:20
19472,3760660,207967515_46697546710_526830,step_1,2017-03-19 17:15:29
56655,5959972,688036970_86129688313_370066,confirm,2017-03-19 17:26:28
59357,6798317,666676427_70105463970_528747,start,2017-03-19 18:03:13
65737,511522,325704714_94054407836_800121,step_3,2017-03-19 18:38:26
15366,7497388,790015080_9956653244_304977,start,2017-03-19 20:14:17
50027,3857653,997557263_62172962377_5466,confirm,2017-03-19 20:56:29
123038,9547794,668964567_60710355077_453863,step_2,2017-03-19 21:08:16
43372,723243,959067917_78619286707_21906,start,2017-03-19 21:49:41
127634,1685485,527468464_25283443943_725549,start,2017-03-20 05:44:29
16557,2946761,815636754_43295462468_944240,confirm,2017-03-20 10:29:15
90684,5890801,930602607_77702172444_392623,confirm,2017-03-20 10:39:53
109235,2790712,71186050_78980623735_616901,step_1,2017-03-20 10:55:50
75624,486496,979049678_92565264477_282981,step_1,2017-03-20 11:28:35
128037,1309369,139176413_51418154523_139735,confirm,2017-03-20 12:26:40
105064,3330070,609714939_60065921862_866874,step_1,2017-03-20 12:44:10
104600,1776535,170327159_59191268318_397293,start,2017-03-20 12:53:18
65741,511522,480122020_61552420766_495547,start,2017-03-20 13:26:21
56249,71296,135686535_86048174207_210653,confirm,2017-03-20 13:49:09
113636,6651273,655624885_44786150401_620996,confirm,2017-03-20 13:52:05
73613,8414396,693897343_62412925744_151234,step_1,2017-03-20 14:01:42
111716,7312250,694753568_68658755423_221846,start,2017-03-20 14:10:06
9043,7313442,697750834_10860469538_320718,start,2017-03-20 14:22:14
131331,2051216,912561185_52588475223_652013,start,2017-03-20 14:46:37
43045,985546,350795624_41168235595_956007,confirm,2017-03-20 15:19:24
9558,7935827,42017644_91401520737_228027,start,2017-03-20 15:42:32
76066,5429906,971079605_56313063091_255349,start,2017-03-20 16:23:04
17813,1748012,233941430_70725643816_431374,start,2017-03-20 16:32:39
123182,8938661,848204110_12290184956_809243,start,2017-03-20 17:35:57
139921,1486850,568898082_60769495180_892248,step_3,2017-03-20 17:55:21
129727,6744969,424412183_58381854992_45816,confirm,2017-03-20 17:57:02
76189,7247254,374713205_66144572067_511647,start,2017-03-20 18:32:49
71546,5589091,517585265_35043651413_760503,confirm,2017-03-20 19:27:38
16966,2858890,107016836_86308944528_107226,step_1,2017-03-20 19:42:22
67058,7171365,233514021_74362559472_52752,confirm,2017-03-20 20:46:25
100089,9740374,287538299_93672956319_382860,start,2017-03-20 20:50:12
34444,2288541,272466784_38214547041_719837,confirm,2017-03-20 21:05:28
91519,1012423,707255782_40680078728_259419,step_3,2017-03-20 21:21:11
55080,8253604,692446387_86546847232_571032,step_1,2017-03-20 23:06:56
6426,4157037,314446534_94337742992_66286,start,2017-03-21 01:10:44
7620,6767899,92627031_50300841303_654778,confirm,2017-03-21 08:25:00
120546,4236139,570123740_22591248554_332965,start,2017-03-21 08:55:44
48522,9220177,551441440_42901229919_259903,step_1,2017-03-21 10:14:22
48517,9220177,127184825_40450163644_254069,step_3,2017-03-21 10:20:47
83040,3276860,990198650_37964320167_594793,start,2017-03-21 12:26:21
7100,7178945,322626802_27494524198_653066,confirm,2017-03-21 12:32:02
43830,3132076,329299787_37352037417_236949,confirm,2017-03-21 14:43:44
72257,4601536,186753762_33902629687_302388,start,2017-03-21 15:02:56
119781,9400844,515501401_89919631907_887077,confirm,2017-03-21 15:38:23
98563,419969,634822377_4497607108_439373,start,2017-03-21 16:33:30
5290,8737107,729281135_66237961259_154931,confirm,2017-03-21 17:04:39
136508,1784712,962560570_22943947481_760599,start,2017-03-21 18:28:22
81354,6479083,586422629_13455077869_396397,confirm,2017-03-21 18:37:56
107882,6443373,874205033_39263517300_666116,confirm,2017-03-21 20:09:04
50384,1101454,669163470_38806428243_286230,confirm,2017-03-21 20:34:49
96836,4526050,504905172_16760466687_413605,confirm,2017-03-21 20:57:15
74777,4193650,746116439_37736982619_840636,confirm,2017-03-21 21:28:55
96106,9363715,534422047_11166472381_195483,confirm,2017-03-21 21:46:36
63073,3432060,401817554_44959082600_25992,confirm,2017-03-21 22:39:18
30531,460755,656950332_17848980876_696136,start,2017-03-21 23:10:03
27948,7177558,80335288_63959612373_144133,start,2017-03-22 01:22:00
49582,4264493,352463521_37963551006_98740,confirm,2017-03-22 07:29:44
71136,4924036,735795543_24809966734_560367,confirm,2017-03-22 09:04:48
128348,2910449,135038250_87952617116_673755,start,2017-03-22 10:56:27
124425,105007,100030127_47967100085_936361,start,2017-03-22 11:07:49
74308,4612333,30735829_88331625153_535135,start,2017-03-22 11:08:15
112660,9235959,282700354_21064601226_54031,confirm,2017-03-22 11:10:47
58828,7362107,748978459_35818951439_4114,confirm,2017-03-22 11:11:17
114322,3076584,299585857_29887510790_795750,confirm,2017-03-22 11:11:35
57413,7302824,870224215_38501356194_679649,step_2,2017-03-22 11:12:40
24194,6032718,961127017_51193767540_766059,confirm,2017-03-22 11:12:47
19208,7944759,221459701_96158120863_73970,confirm,2017-03-22 11:13:02
4684,9289178,299647147_89048011718_126957,start,2017-03-22 11:17:26
130140,2808682,281030540_99297634039_432700,confirm,2017-03-22 11:18:41
80175,6585877,798850615_89376122300_302249,confirm,2017-03-22 11:21:52
32565,1675422,189102948_35023988273_989423,step_3,2017-03-22 11:22:48
79097,6513992,205127995_24553408888_852469,step_3,2017-03-22 11:24:34
8984,6493019,692156819_33969010105_519349,step_1,2017-03-22 11:29:51
99255,9035900,774809598_38889987034_936646,confirm,2017-03-22 11:31:01
4656,27021,525905933_92057215335_225403,confirm,2017-03-22 11:34:51
139050,1979389,502341542_33405774186_793113,confirm,2017-03-22 11:44:02
42500,4653270,503557599_84424820545_516288,step_3,2017-03-22 11:45:02
6468,1536089,634888284_45220432153_272628,confirm,2017-03-22 11:45:14
130227,7268161,774204506_7082034605_151311,confirm,2017-03-22 11:46:39
17589,5109271,653588973_28815484425_954991,start,2017-03-22 11:48:05
119946,16679,204164301_17766221239_325215,start,2017-03-22 11:48:16
98147,5038429,595837137_57054766388_767257,confirm,2017-03-22 11:49:58
127400,1415245,77790607_77363054961_889102,step_1,2017-03-22 11:51:59
88694,5133321,393796259_96165155823_988444,start,2017-03-22 11:53:53
35165,1902404,670676480_48006054062_689419,confirm,2017-03-22 12:01:09
135674,8838297,44153512_17113110488_60168,start,2017-03-22 12:01:25
5581,6731654,30756024_95693676433_837212,step_1,2017-03-22 12:02:07
56494,5073391,50535566_18844606117_652764,confirm,2017-03-22 12:02:16
9034,3526820,71599130_506068610_716504,confirm,2017-03-22 12:08:36
44153,7245100,86768291_57490218659_231276,confirm,2017-03-22 12:10:11
108771,9377551,67215267_31951451991_634719,confirm,2017-03-22 12:11:16
18021,512721,39991542_69054877350_446175,confirm,2017-03-22 12:12:08
80546,5890932,272807964_72301327625_833543,confirm,2017-03-22 12:13:10
97668,7390560,502890944_23301944397_702223,confirm,2017-03-22 12:15:07
23122,3853105,708869418_80862916474_619469,confirm,2017-03-22 12:15:24
100484,8991607,771490952_7018957365_475013,confirm,2017-03-22 12:16:48
66528,3081216,246817402_67572909922_94093,confirm,2017-03-22 12:16:53
114216,9020037,809323687_45332354490_381358,confirm,2017-03-22 12:17:24
49962,6522991,730304564_44311479045_76168,start,2017-03-22 12:28:40
67813,5274015,35731906_83420301778_796664,step_2,2017-03-22 12:31:09
65793,451805,816216397_39069036524_714356,confirm,2017-03-22 12:31:20
92264,2787049,511277358_50389966823_994195,confirm,2017-03-22 12:32:29
105896,6261592,232498870_20108405452_923891,confirm,2017-03-22 12:35:13
81218,4710635,546020917_7270678956_742039,start,2017-03-22 12:35:39
80595,9229328,603191218_67204826459_620581,step_3,2017-03-22 12:37:04
84156,5801776,681809933_55546337289_802352,step_2,2017-03-22 12:38:28
103297,8191345,820326455_18678690741_410378,confirm,2017-03-22 12:45:19
56325,9120611,599923559_3042366842_284581,start,2017-03-22 12:48:48
114573,9409443,920286904_22184527557_889411,start,2017-03-22 12:48:54
33869,660953,76505964_69011235958_118068,confirm,2017-03-22 12:52:20
127667,3901956,435865521_53702227719_525956,confirm,2017-03-22 12:52:51
108351,8042531,546332629_22874401313_471384,confirm,2017-03-22 13:07:09
73351,9301632,625595238_45227394902_806912,confirm,2017-03-22 13:07:26
42841,8191449,629790503_34675905755_345420,confirm,2017-03-22 13:14:52
43713,8142514,488820066_18140240786_914762,confirm,2017-03-22 13:14:59
82283,7967929,824960945_56207383089_378642,step_1,2017-03-22 13:17:41
107530,7619234,97885688_42916774949_39773,confirm,2017-03-22 13:19:20
39033,7546798,484507699_69071675825_294650,confirm,2017-03-22 13:19:46
6401,4806778,20089758_92477438833_560856,confirm,2017-03-22 13:20:20
106183,3009615,657055447_30925576974_352766,step_3,2017-03-22 13:22:04
22710,9985559,326659171_1289316177_212450,start,2017-03-22 13:30:07
30982,741642,954097386_90227853097_221549,start,2017-03-22 13:30:43
97199,5933753,110396168_29164529346_22732,confirm,2017-03-22 13:55:27
92226,3422908,524346349_20202222123_874666,confirm,2017-03-22 14:00:12
64819,7088127,48025889_78274554903_120555,confirm,2017-03-22 14:03:52
2578,6019257,927193423_79590989438_349789,start,2017-03-22 14:12:03
41065,7730070,389710206_36556775866_118499,start,2017-03-22 14:17:52
46440,8845667,468913143_64558693451_605443,confirm,2017-03-22 14:45:51
1261,3387907,111798310_43645736226_972694,confirm,2017-03-22 14:55:07
39279,7867818,496648993_4807990501_429830,step_2,2017-03-22 15:02:47
127449,3826199,257298067_66477598178_744849,confirm,2017-03-22 15:13:50
68270,2982738,121334088_27250679579_792237,start,2017-03-22 15:18:01
9258,9923115,45028804_49932549759_870127,confirm,2017-03-22 15:29:53
83865,3658118,955273274_34267718394_809029,confirm,2017-03-22 15:30:07
84768,5663301,777431207_33429507203_587239,confirm,2017-03-22 15:43:31
84328,5541105,638481997_43254802279_273385,start,2017-03-22 15:51:33
52104,5282949,170203556_69422386371_668946,step_1,2017-03-22 15:53:27
57733,1515194,382332716_14358834906_37732,step_1,2017-03-22 15:57:58
27039,1781992,817603118_79446228517_37514,confirm,2017-03-22 15:58:03
1483,625038,84645796_33122616009_878921,start,2017-03-22 16:08:09
140202,2249641,110529988_53459954592_574647,confirm,2017-03-22 16:10:36
1476,625038,492133299_11226368795_141445,step_3,2017-03-22 16:23:15
35826,9812859,650610414_59031486670_698518,confirm,2017-03-22 16:23:55
71126,5840984,57745861_86512318727_649170,start,2017-03-22 16:31:21
30334,1175946,605720292_75655942777_890631,confirm,2017-03-22 16:36:46
109203,9708601,546757654_12437474657_345560,step_1,2017-03-22 16:43:57
65,4229407,591665724_84654603239_887318,confirm,2017-03-22 16:51:04
138239,6800204,374886802_10488087943_318456,confirm,2017-03-22 17:09:07
49828,4046490,320474528_35608251466_825910,step_1,2017-03-22 17:11:58
51335,7804662,413958225_22496139240_130311,confirm,2017-03-22 17:13:14
91706,3616483,211969130_73851696944_233658,confirm,2017-03-22 17:28:45
113076,5630341,301487984_78985239511_215867,start,2017-03-22 17:32:32
120630,154458,651764786_25361489301_749576,step_3,2017-03-22 17:51:54
